"NO_MUN","place","lon","lat"
"APUCARANA","APUCARANA Paraná Brasil",-51.4639716,-23.5504385
"ARAPOTI","ARAPOTI Paraná Brasil",-49.826795,-24.145345
"BARRACÃO","BARRACÃO Paraná Brasil",-53.6368057,-26.2508706
"CAMPO LARGO","CAMPO LARGO Paraná Brasil",-49.5273149,-25.4596855
"CASCAVEL","CASCAVEL Paraná Brasil",-53.4595112,-24.9577771
"CASTRO","CASTRO Paraná Brasil",-49.9982361,-24.8054741
"COLOMBO","COLOMBO Paraná Brasil",-49.2266344,-25.2929784
"CRUZ MACHADO","CRUZ MACHADO Paraná Brasil",-51.3498571,-26.0174623
"CRUZMALTINA","CRUZMALTINA Paraná Brasil",-51.4729695,-24.0042884
"CURITIBA","CURITIBA Paraná Brasil",-49.3044253,-25.4808762
"DOIS VIZINHOS","DOIS VIZINHOS Paraná Brasil",-53.0615734,-25.7464549
"FOZ DO IGUAÇU","FOZ DO IGUAÇU Paraná Brasil",-54.5853764,-25.5163356
"FRANCISCO BELTRÃO","FRANCISCO BELTRÃO Paraná Brasil",-53.05199,-26.0779448
"GOIOERÊ","GOIOERÊ Paraná Brasil",-53.0276879,-24.1860226
"GUAMIRANGA","GUAMIRANGA Paraná Brasil",-50.809286,-25.1929343
"IBIPORÃ","IBIPORÃ Paraná Brasil",-51.0478724,-23.2690961
"IMBAÚ","IMBAÚ Paraná Brasil",-50.7604165,-24.4461968
"IRATI","IRATI Paraná Brasil",-50.8040271,-25.4756137
"JANDAIA DO SUL","JANDAIA DO SUL Paraná Brasil",-51.6386494,-23.5991226
"LAPA","LAPA Paraná Brasil",-49.7728757,-25.734685
"LONDRINA","LONDRINA Paraná Brasil",-51.1695824,-23.3044524
"MARINGÁ","MARINGÁ Paraná Brasil",-51.9330558,-23.4209995
"PATO BRANCO","PATO BRANCO Paraná Brasil",-52.6711356,-26.2297202
"PINHÃO","PINHÃO Paraná Brasil",-51.654058,-25.6945977
"PORECATU","PORECATU Paraná Brasil",-51.3808905,-22.7520712
"PRANCHITA","PRANCHITA Paraná Brasil",-53.7410944,-26.0213835
"SANTA CRUZ DE MONTE CASTELO","SANTA CRUZ DE MONTE CASTELO Paraná Brasil",-53.2947002,-22.9590379
"SANTA IZABEL DO OESTE","SANTA IZABEL DO OESTE Paraná Brasil",-53.4782003,-25.8223495
"SÃO JORGE D'OESTE","SÃO JORGE D'OESTE Paraná Brasil",-52.9190078,-25.7092707
"SÃO MIGUEL DO IGUAÇU","SÃO MIGUEL DO IGUAÇU Paraná Brasil",-54.2307196,-25.3447267
"TIJUCAS DO SUL","TIJUCAS DO SUL Paraná Brasil",-49.178752,-25.9256672
"ALMIRANTE TAMANDARÉ","ALMIRANTE TAMANDARÉ Paraná Brasil",-49.3041525,-25.3193922
"ALTO PARAÍSO","ALTO PARAÍSO Paraná Brasil",-53.7274366,-23.5052046
"ANTONINA","ANTONINA Paraná Brasil",-48.7162067,-25.4328356
"ARAUCÁRIA","ARAUCÁRIA Paraná Brasil",-49.4052251,-25.586431
"ASSAÍ","ASSAÍ Paraná Brasil",-50.8471597,-23.3692031
"ATALAIA","ATALAIA Paraná Brasil",-52.0540457,-23.1517519
"BELA VISTA DA CAROBA","BELA VISTA DA CAROBA Paraná Brasil",-53.6285244,-25.8681271
"BELA VISTA DO PARAÍSO","BELA VISTA DO PARAÍSO Paraná Brasil",-51.2422395,-22.9959817
"CAMBÉ","CAMBÉ Paraná Brasil",-51.2810444,-23.2780418
"CAMPINA GRANDE DO SUL","CAMPINA GRANDE DO SUL Paraná Brasil",-49.0541427,-25.3049206
"CAMPO MAGRO","CAMPO MAGRO Paraná Brasil",-49.4505459,-25.3691689
"CAMPO MOURÃO","CAMPO MOURÃO Paraná Brasil",-52.3781098,-24.0436553
"CARAMBEÍ","CARAMBEÍ Paraná Brasil",-50.1211109,-24.9506405
"CENTENÁRIO DO SUL","CENTENÁRIO DO SUL Paraná Brasil",-51.5967377,-22.8192739
"CÉU AZUL","CÉU AZUL Paraná Brasil",-53.8466838,-25.1466265
"CIANORTE","CIANORTE Paraná Brasil",-52.6102787,-23.6626599
"CIDADE GAÚCHA","CIDADE GAÚCHA Paraná Brasil",-52.9448089,-23.3826256
"CORNÉLIO PROCÓPIO","CORNÉLIO PROCÓPIO Paraná Brasil",-50.6474867,-23.1794735
"CRUZEIRO DO OESTE","CRUZEIRO DO OESTE Paraná Brasil",-53.0762805,-23.7834562
"FAZENDA RIO GRANDE","FAZENDA RIO GRANDE Paraná Brasil",-49.3075989,-25.6636458
"FERNANDES PINHEIRO","FERNANDES PINHEIRO Paraná Brasil",-50.4928628,-25.5153377
"GENERAL CARNEIRO","GENERAL CARNEIRO Paraná Brasil",-51.3134788,-26.4292013
"GUARAPUAVA","GUARAPUAVA Paraná Brasil",-51.4628097,-25.3907214
"GUARATUBA","GUARATUBA Paraná Brasil",-48.5765169,-25.8856663
"HONÓRIO SERPA","HONÓRIO SERPA Paraná Brasil",-52.3832728,-26.143049
"IBAITI","IBAITI Paraná Brasil",-50.3069088,-23.8124402
"ICARAÍMA","ICARAÍMA Paraná Brasil",-53.6220545,-23.3954083
"IMBITUVA","IMBITUVA Paraná Brasil",-50.6054136,-25.2293043
"IVAIPORÃ","IVAIPORÃ Paraná Brasil",-51.6741201,-24.2444396
"IVATÉ","IVATÉ Paraná Brasil",-53.369155,-23.4075012
"JACAREZINHO","JACAREZINHO Paraná Brasil",-49.9777202,-23.157939
"JANIÓPOLIS","JANIÓPOLIS Paraná Brasil",-52.7762486,-24.141567
"LUIZIANA","LUIZIANA Paraná Brasil",-52.2771997,-24.2866931
"MAMBORÊ","MAMBORÊ Paraná Brasil",-52.6172766,-24.3782248
"MANDAGUARI","MANDAGUARI Paraná Brasil",-51.6870645,-23.5170907
"MANDIRITUBA","MANDIRITUBA Paraná Brasil",-49.3273896,-25.776969
"MARILUZ","MARILUZ Paraná Brasil",-53.1479128,-24.0074128
"MEDIANEIRA","MEDIANEIRA Paraná Brasil",-54.0932225,-25.2952784
"MUNHOZ DE MELO","MUNHOZ DE MELO Paraná Brasil",-51.7734782,-23.1469503
"PAIÇANDU","PAIÇANDU Paraná Brasil",-52.0423373,-23.4554707
"PALMEIRA","PALMEIRA Paraná Brasil",-50.0048097,-25.4247357
"PALOTINA","PALOTINA Paraná Brasil",-53.8346402,-24.2820763
"PARANAGUÁ","PARANAGUÁ Paraná Brasil",-48.5226223,-25.5148758
"PARANAVAÍ","PARANAVAÍ Paraná Brasil",-52.4622155,-23.0821226
"PEABIRU","PEABIRU Paraná Brasil",-52.3452107,-23.9150089
"PÉROLA","PÉROLA Paraná Brasil",-53.6799909,-23.8026835
"PIÊN","PIÊN Paraná Brasil",-49.4287243,-26.0990906
"PINHAIS","PINHAIS Paraná Brasil",-49.1931448,-25.4434411
"PONTA GROSSA","PONTA GROSSA Paraná Brasil",-50.1545956,-25.0949322
"PONTAL DO PARANÁ","PONTAL DO PARANÁ Paraná Brasil",-48.4759744,-25.6971796
"QUATRO BARRAS","QUATRO BARRAS Paraná Brasil",-49.0752995,-25.3687893
"QUITANDINHA","QUITANDINHA Paraná Brasil",-49.4975138,-25.8715908
"REBOUÇAS","REBOUÇAS Paraná Brasil",-50.6867773,-25.6236702
"RIO NEGRO","RIO NEGRO Paraná Brasil",-49.7807038,-26.0872185
"ROLÂNDIA","ROLÂNDIA Paraná Brasil",-51.3768221,-23.3160342
"RONCADOR","RONCADOR Paraná Brasil",-52.2769037,-24.5946081
"SANTA MÔNICA","SANTA MÔNICA Paraná Brasil",-53.1107767,-23.1084984
"SANTO ANTÔNIO DA PLATINA","SANTO ANTÔNIO DA PLATINA Paraná Brasil",-50.0726882,-23.2980974
"SÃO JORGE DO PATROCÍNIO","SÃO JORGE DO PATROCÍNIO Paraná Brasil",-53.8802617,-23.7628713
"SÃO JOSÉ DOS PINHAIS","SÃO JOSÉ DOS PINHAIS Paraná Brasil",-49.2035722,-25.5318354
"SÃO MATEUS DO SUL","SÃO MATEUS DO SUL Paraná Brasil",-50.3842316,-25.8681839
"SENGÉS","SENGÉS Paraná Brasil",-49.4707934,-24.1122593
"SERTANEJA","SERTANEJA Paraná Brasil",-50.8170891,-23.0379393
"TAPIRA","TAPIRA Paraná Brasil",-53.0713619,-23.3233472
"TELÊMACO BORBA","TELÊMACO BORBA Paraná Brasil",-50.6206959,-24.3237385
"TERRA BOA","TERRA BOA Paraná Brasil",-52.4476899,-23.7681945
"TOLEDO","TOLEDO Paraná Brasil",-53.7420329,-24.7254277
"TUNAS DO PARANÁ","TUNAS DO PARANÁ Paraná Brasil",-49.0844951,-24.9754613
"UBIRATÃ","UBIRATÃ Paraná Brasil",-52.9898619,-24.5428053
"UMUARAMA","UMUARAMA Paraná Brasil",-53.3206105,-23.7661064
"UNIÃO DA VITÓRIA","UNIÃO DA VITÓRIA Paraná Brasil",-51.0582104,-26.2269867
"VENTANIA","VENTANIA Paraná Brasil",-50.2453855,-24.245866
