"CO_UF","NO_UF","PA_UFMUN","NO_MUN","CO_REG","NO_REG","CO_REGibge","NO_REGibge","PA_CODUNI","FANTASIA","COD_CEP","CPF_CNPJ","CNPJ_MAN","PA_CBOCOD","DS_CBO","PA_PROC_ID","NO_PROC","PA_MUNPCN","count","qtde","total"
"41","Paraná","410040","ALMIRANTE TAMANDARÉ","41002","2ª RS Metropolitana","41037","Curitiba","7299680","PRO LAB LABORATORIO DE ANALISES CLINICAS","83501090","18171024000179","00000000000000","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,200,1572
"41","Paraná","410040","ALMIRANTE TAMANDARÉ","41002","2ª RS Metropolitana","41037","Curitiba","7504403","SUHLAB","83506000","19051862000171","00000000000000","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,123,966.78
"41","Paraná","410040","ALMIRANTE TAMANDARÉ","41002","2ª RS Metropolitana","41037","Curitiba","7606060","IDEALLAB","83501070","20870871000173","00000000000000","221205","BIOM�DICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,100,786
"41","Paraná","410120","ANTONINA","41001","1ª RS Paranaguá","41038","Paranaguá","2680971","HOSPITAL DR SILVIO BITTENCOURT LINHARES","83370000","76022516000280","76022516000107","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,10,78.6
"41","Paraná","410140","APUCARANA","41016","16ª RS Apucarana","41010","Apucarana","2439379","INSTITUTO APUCARANENSE","86800040","78031218000109","00000000000000","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,48,377.28
"41","Paraná","410140","APUCARANA","41016","16ª RS Apucarana","41010","Apucarana","2439395","LABORATORIO APUCARANA","86800040","77448843000180","00000000000000","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,56,440.16
"41","Paraná","410140","APUCARANA","41016","16ª RS Apucarana","41010","Apucarana","2439425","LABORATORIO SAO FRANCISCO","86800040","79105110000178","00000000000000","221205","BIOM�DICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,117,919.62
"41","Paraná","410140","APUCARANA","41016","16ª RS Apucarana","41010","Apucarana","2439492","CISVIR","86800140","01010042000176","00000000000000","225335","MEDICO PATOLOGISTA CLINICO  MEDICINA LABORATORIAL","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,48,377.28
"41","Paraná","410140","APUCARANA","41016","16ª RS Apucarana","41010","Apucarana","2584174","LABORATORIO CENTERLAB DE ANALISES CLINICAS","86800140","02100609000168","00000000000000","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",2,46,361.56
"41","Paraná","410140","APUCARANA","41016","16ª RS Apucarana","41010","Apucarana","3155986","LABORATORIO SAO MARCOS","86800120","05503417000190","00000000000000","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,41,322.26
"41","Paraná","410160","ARAPOTI","41003","3ª RS Ponta Grossa","41020","Jaguariaíva","3480321","UNIDADE MATERNO INFANTIL","84990000","00000000000000","75658377000131","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,20,157.2
"41","Paraná","410180","ARAUCÁRIA","41002","2ª RS Metropolitana","41037","Curitiba","3151875","VOLPI BIANCARDI LABORATORIO DE ANALISES CLINICAS","83702070","00946045000153","00000000000000","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,9,70.74
"41","Paraná","410180","ARAUCÁRIA","41002","2ª RS Metropolitana","41037","Curitiba","3183521","LABORATORIO DE ANALISES CLINICAS NASSAR","83702070","01745947000194","00000000000000","221205","BIOM�DICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,27,212.22
"41","Paraná","410180","ARAUCÁRIA","41002","2ª RS Metropolitana","41037","Curitiba","7586906","LABORATORIO DE ANALISES CLINICAS SAO CARLOS","83702070","19769626000195","00000000000000","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,3,23.58
"41","Paraná","410190","ASSAÍ","41017","17ª RS Londrina","41014","Assaí","2576317","CENTRO DE SAUDE ASSAI","86220000","00000000000000","76290709000130","223415","FARMACEUTICO ANALISTA CLINICO","0202010503","DOSAGEM DE HEMOGLOBINA GLICOSILADA","999999",1,47,369.42
